CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 22-03-2026 | Imola (Bologna) | Emilia-Romagna | CAMPIONATO ITALIANO COPPA CRONO DUATHLON - L'emozione di correre in pista | https://www.myfitri.it/evento/3912
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 22-03-2026 | Imola (Bologna) | Emilia-Romagna | CAMPIONATO ITALIANO DUATHLON A STAFFETTA 2+2 | https://www.myfitri.it/evento/3912
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 22-03-2026 | Imola (Bologna) | Emilia-Romagna | CAMPIONATO ITALIANO PARADUATHLON - L'emozione di correre in pista | https://www.myfitri.it/evento/3912
CAMPIONATO ITALIANO DUATHLON SPRINT ASSOLUTO / AGE GROUP / PARADUATHLON / COPPA CRONO | 22-03-2026 | Imola (Bologna) | Emilia-Romagna | DUATHLON SPRINT DI IMOLA - L'emozione di correre in pista - 8° EDIZIONE - GARA BRONZE | https://www.myfitri.it/evento/3912
CHALLENGE CESENATICO 2026 | 09-05-2026 | Cesenatico (Forlì) | Emilia-Romagna | CHALLENGE CESENATICO SPRINT DISTANCE | https://www.myfitri.it/evento/3920
CHALLENGE CESENATICO 2026 | 09-05-2026 | Cesenatico (Forlì) | Emilia-Romagna | DUATHLON KIDS CHALLENGE CESENATICO | https://www.myfitri.it/evento/3920
CHALLENGE CESENATICO 2026 | 09-05-2026 | Cesenatico (Forlì) | Emilia-Romagna | DUATHLON YOUTH CHALLENGE CESENATICO | https://www.myfitri.it/evento/3920
CHALLENGE CESENATICO 2026 | 10-05-2026 | Cesenatico (Forlì) | Emilia-Romagna | CHALLENGE CESENATICO 2026 | https://www.myfitri.it/evento/3920
CHALLENGE CESENATICO 2026 | 10-05-2026 | Cesenatico (Forlì) | Emilia-Romagna | SWIM BIKE _ CHALLENGE CESENATICO 2026 | https://www.myfitri.it/evento/3920
CHALLENGE FORTE VILLAGE SARDINIA | 24-10-2026 | Pula (Cagliari) | Sardegna | Challenge Forte Village Sardinia - Sprint distance | https://www.myfitri.it/evento/4051
CHALLENGE FORTE VILLAGE SARDINIA | 25-10-2026 | Pula (Cagliari) | Sardegna | Challenge Forte Village Sardinia - Middle Distance | https://www.myfitri.it/evento/4051
CIRCUITO LE 5 PROVINCE - PRIMA TAPPA | 08-03-2026 | Casal Velino (Salerno) | Campania | CIRCUITO LE 5 PROVINCE - PRIMA TAPPA | https://www.myfitri.it/evento/4085
Campionati Italiani Triathlon Olimpico Alba Adriatica | 05-09-2026 | Alba Adriatica (Teramo) | Abruzzo | Campionati Italiani Triathlon Olimpico Elite | https://www.myfitri.it/evento/3915
