C.I. Giovani Individuale e Mixed Relay 2+2 | 18-04-2026 | Magione (Perugia) | Umbria | Duathlon Kids | https://www.myfitri.it/calendario/evento/113812
C.I. Giovani Individuale e Mixed Relay 2+2 | 19-04-2026 | Magione (Perugia) | Umbria | Circuito U23 Next Generation | https://www.myfitri.it/calendario/evento/113812
C.I. Giovani Individuale e Mixed Relay 2+2 | 19-04-2026 | Magione (Perugia) | Umbria | Duathlon Mixed Relay 2+2 | https://www.myfitri.it/calendario/evento/113812
C.I. Giovani Individuale e Mixed Relay 2+2 | 19-04-2026 | Magione (Perugia) | Umbria | Duathlon Sprint Age Group | https://www.myfitri.it/calendario/evento/113812
C.I. Giovani Individuale e Mixed Relay 2+2 | 19-04-2026 | Magione (Perugia) | Umbria | Duathlon Staffette Sviluppo | https://www.myfitri.it/calendario/evento/113812
C.I. Giovani Triathlon Ind/C.I. Giovani 2+2/COPPA REGIONI Jr/Youth/ COPPA REGIONI Ragazzi | 03-07-2026 | Spresiano (Treviso) | Veneto | C.I. Triathlon Giovani individuale Cat. Junior ^ | https://www.myfitri.it/calendario/evento/113872
C.I. Giovani Triathlon Ind/C.I. Giovani 2+2/COPPA REGIONI Jr/Youth/ COPPA REGIONI Ragazzi | 03-07-2026 | Spresiano (Treviso) | Veneto | Campionati Italiani Giovanili di Triathlon Individuali - Cat. YOUTH A | https://www.myfitri.it/calendario/evento/113872
C.I. Giovani Triathlon Ind/C.I. Giovani 2+2/COPPA REGIONI Jr/Youth/ COPPA REGIONI Ragazzi | 03-07-2026 | Spresiano (Treviso) | Veneto | Campionati Italiani Giovanili di Triathlon Individuali - Cat. YOUTH B | https://www.myfitri.it/calendario/evento/113872
C.I. Giovani Triathlon Ind/C.I. Giovani 2+2/COPPA REGIONI Jr/Youth/ COPPA REGIONI Ragazzi | 04-07-2026 | Spresiano (Treviso) | Veneto | C.I. Giovani  a Staffetta 2+2 junior | https://www.myfitri.it/calendario/evento/113872
C.I. Giovani Triathlon Ind/C.I. Giovani 2+2/COPPA REGIONI Jr/Youth/ COPPA REGIONI Ragazzi | 04-07-2026 | Spresiano (Treviso) | Veneto | C.I. Giovani a Staffetta 2+2 Youth | https://www.myfitri.it/calendario/evento/113872
C.I. WINTER TRIATHLON A SQUADRE | 07-02-2026 | Alagna Valsesia (Vercelli) | Piemonte | WINTER DUATHLON KIDS | https://www.myfitri.it/calendario/evento/113840
C.I. WINTER TRIATHLON A SQUADRE | 07-02-2026 | Alagna Valsesia (Vercelli) | Piemonte | WINTER DUATHLON SPRINT | https://www.myfitri.it/calendario/evento/113840
C.I. WINTER TRIATHLON A SQUADRE | 08-02-2026 | Alagna Valsesia (Vercelli) | Piemonte | C.I. WINTER TRIATHLON A SQUADRE 2x2 | https://www.myfitri.it/calendario/evento/113840
C.I. WINTER TRIATHLON A SQUADRE | 08-02-2026 | Alagna Valsesia (Vercelli) | Piemonte | WINTER TRIATHLON KIDS | https://www.myfitri.it/calendario/evento/113840
C.I. WINTER TRIATHLON A SQUADRE | 08-02-2026 | Alagna Valsesia (Vercelli) | Piemonte | WINTER TRIATHLON SPRINT | https://www.myfitri.it/calendario/evento/113840
